th_lat,th_long,pH_H2O,N,P,K
47.15024,16.13421,4.81,1.1,< LOD,101.9
47.15024,16.13421,4.81,1.1,< LOD,101.9
47.15024,16.13421,4.81,1.1,< LOD,101.9
47.15024,16.13421,4.81,1.1,< LOD,101.9
47.27427,16.17536,4.93,1.3,< LOD,51.2
47.27427,16.17536,4.93,1.3,< LOD,51.2
47.27427,16.17536,4.93,1.3,< LOD,51.2
47.27427,16.17536,4.93,1.3,< LOD,51.2
47.12326,16.28969,4.85,3.1,12.3,114.8
47.12326,16.28969,4.85,3.1,12.3,114.8
47.12326,16.28969,4.85,3.1,12.3,114.8
47.12326,16.28969,4.85,3.1,12.3,114.8
47.24569,16.35751,5.8,2,< LOD,165.8
47.24569,16.35751,5.8,2,< LOD,165.8
47.24569,16.35751,5.8,2,< LOD,165.8
47.24569,16.35751,5.8,2,< LOD,165.8
47.29637,16.41678,6.48,2.2,< LOD,42.1
47.29637,16.41678,6.48,2.2,< LOD,42.1
47.29637,16.41678,6.48,2.2,< LOD,42.1
47.48882,16.52059,6.81,2,68,277.2
47.48882,16.52059,6.81,2,68,277.2
47.48882,16.52059,6.81,2,68,277.2
47.48882,16.52059,6.81,2,68,277.2
47.5541,16.63556,6.37,1.4,58.1,315.5
47.5541,16.63556,6.37,1.4,58.1,315.5
47.5541,16.63556,6.37,1.4,58.1,315.5
47.5541,16.63556,6.37,1.4,58.1,315.5
47.9287,16.71116,7.98,2.1,17.5,329.1
47.9287,16.71116,7.98,2.1,17.5,329.1
47.9287,16.71116,7.98,2.1,17.5,329.1
47.9287,16.71116,7.98,2.1,17.5,329.1
47.86506,16.86385,8.09,2.9,62.2,367.8
47.86506,16.86385,8.09,2.9,62.2,367.8
47.86506,16.86385,8.09,2.9,62.2,367.8
47.94616,17.00926,7.84,1.6,< LOD,146.2
47.94616,17.00926,7.84,1.6,< LOD,146.2
47.94616,17.00926,7.84,1.6,< LOD,146.2
47.94616,17.00926,7.84,1.6,< LOD,146.2
47.87283,17.02603,8.15,2,22.3,220.2
47.87283,17.02603,8.15,2,22.3,220.2
47.87283,17.02603,8.15,2,22.3,220.2
47.74579,17.03537,8.3,2.7,28.4,323.3
47.74579,17.03537,8.3,2.7,28.4,323.3
47.74579,17.03537,8.3,2.7,28.4,323.3
47.74579,17.03537,8.3,2.7,28.4,323.3
48.131649493,14.501514307,7.52,1.9,44.5,134.4
48.13165,14.50151,7.52,1.9,44.5,134.4
48.13165,14.50151,7.52,1.9,44.5,134.4
48.13165,14.50151,7.52,1.9,44.5,134.4
48.03631,14.62739,5.82,4.2,20.2,115.6
48.03631,14.62739,5.82,4.2,20.2,115.6
48.03631,14.62739,5.82,4.2,20.2,115.6
48.03631,14.62739,5.82,4.2,20.2,115.6
48.162,14.63887,4.74,3.8,19.4,294.1
48.162,14.63887,4.74,3.8,19.4,294.1
48.162,14.63887,4.74,3.8,19.4,294.1
48.162,14.63887,4.74,3.8,19.4,294.1
48.08676,14.71267,6.8,2.1,53.3,217.6
48.08676,14.71267,6.8,2.1,53.3,217.6
48.08676,14.71267,6.8,2.1,53.3,217.6
48.08676,14.71267,6.8,2.1,53.3,217.6
48.14063,14.71768,5.84,2.5,22.3,227.4
48.14063,14.71768,5.84,2.5,22.3,227.4
48.14063,14.71768,5.84,2.5,22.3,227.4
48.14063,14.71768,5.84,2.5,22.3,227.4
47.90376,14.77615,6.93,12.1,17.8,524.5
47.90376,14.77615,6.93,12.1,17.8,524.5
47.90376,14.77615,6.93,12.1,17.8,524.5
47.90376,14.77615,6.93,12.1,17.8,524.5
48.01148,14.78626,6.8,3.4,77.2,368.6
48.01148,14.78626,6.8,3.4,77.2,368.6
48.01148,14.78626,6.8,3.4,77.2,368.6
48.01148,14.78626,6.8,3.4,77.2,368.6
48.67205,14.9311,6.11,4.1,14,405.5
48.67205,14.9311,6.11,4.1,14,405.5
48.67205,14.9311,6.11,4.1,14,405.5
48.67205,14.9311,6.11,4.1,14,405.5
48.58112,14.94929,5.57,3,31.4,289.3
48.58112,14.94929,5.57,3,31.4,289.3
48.58112,14.94929,5.57,3,31.4,289.3
48.58112,14.94929,5.57,3,31.4,289.3
47.8045,14.98089,6.39,6.1,< LOD,145
47.8045,14.98089,6.39,6.1,< LOD,145
48.57624,15.05747,6.24,2.3,59.2,506.4
48.57624,15.05747,6.24,2.3,59.2,506.4
48.57624,15.05747,6.24,2.3,59.2,506.4
48.57624,15.05747,6.24,2.3,59.2,506.4
48.61213,15.06111,4.05,3.5,30.2,148
48.61213,15.06111,4.05,3.5,30.2,148
48.61213,15.06111,4.05,3.5,30.2,148
48.61213,15.06111,4.05,3.5,30.2,148
48.8992,15.09042,3.78,2.6,18.5,43.4
48.8992,15.09042,3.78,2.6,18.5,43.4
48.8992,15.09042,3.78,2.6,18.5,43.4
48.8992,15.09042,3.78,2.6,18.5,43.4
47.89181,15.04301,4.52,2.3,< LOD,87
47.89181,15.04301,4.52,2.3,< LOD,87
47.89181,15.04301,4.52,2.3,< LOD,87
47.89181,15.04301,4.52,2.3,< LOD,87
48.24953,15.10566,4.85,4.2,< LOD,69.7
48.24953,15.10566,4.85,4.2,< LOD,69.7
48.24953,15.10566,4.85,4.2,< LOD,69.7
48.24953,15.10566,4.85,4.2,< LOD,69.7
48.33925,15.11475,3.88,6.2,23.4,94.9
48.33925,15.11475,3.88,6.2,23.4,94.9
48.33925,15.11475,3.88,6.2,23.4,94.9
48.33925,15.11475,3.88,6.2,23.4,94.9
48.62508,15.1712,6.21,2.4,75.9,392
48.62508,15.1712,6.21,2.4,75.9,392
48.62508,15.1712,6.21,2.4,75.9,392
48.94799,15.20494,3.94,1.8,24.9,51.7
48.94799,15.20494,3.94,1.8,24.9,51.7
48.94799,15.20494,3.94,1.8,24.9,51.7
48.94799,15.20494,3.94,1.8,24.9,51.7
48.01373,15.13569,6.54,3.8,12.5,172
48.01373,15.13569,6.54,3.8,12.5,172
48.01373,15.13569,6.54,3.8,12.5,172
48.01373,15.13569,6.54,3.8,12.5,172
48.08552,15.14295,7.26,5.9,< LOD,155.2
48.08552,15.14295,7.26,5.9,< LOD,155.2
48.08552,15.14295,7.26,5.9,< LOD,155.2
48.08552,15.14295,7.26,5.9,< LOD,155.2
48.85703,15.22271,6.48,1.6,29.5,82.5
48.85703,15.22271,6.48,1.6,29.5,82.5
48.85703,15.22271,6.48,1.6,29.5,82.5
48.85703,15.22271,6.48,1.6,29.5,82.5
47.77791,15.1655,7.18,5.7,11.2,89.5
47.77791,15.1655,7.18,5.7,11.2,89.5
47.97533,15.18551,4.87,3.1,< LOD,86.3
47.97533,15.18551,4.87,3.1,< LOD,86.3
47.97533,15.18551,4.87,3.1,< LOD,86.3
47.97533,15.18551,4.87,3.1,< LOD,86.3
48.71097,15.26185,5.28,1.5,23,156.1
48.71097,15.26185,5.28,1.5,23,156.1
48.71097,15.26185,5.28,1.5,23,156.1
48.71097,15.26185,5.28,1.5,23,156.1
47.77665,15.19212,7.23,10,15.9,86.3
47.77665,15.19212,7.23,10,15.9,86.3
47.77665,15.19212,7.23,10,15.9,86.3
48.92362,15.33919,6.59,1.4,17.8,96.8
48.92362,15.33919,6.59,1.4,17.8,96.8
48.92362,15.33919,6.59,1.4,17.8,96.8
48.92362,15.33919,6.59,1.4,17.8,96.8
47.84333,15.30602,7.37,5.7,< LOD,134.6
47.84333,15.30602,7.37,5.7,< LOD,134.6
47.84333,15.30602,7.37,5.7,< LOD,134.6
47.84333,15.30602,7.37,5.7,< LOD,134.6
48.20219,15.34361,4.9,1.9,13.8,112
48.20219,15.34361,4.9,1.9,13.8,112
48.20219,15.34361,4.9,1.9,13.8,112
48.74034,15.40128,5.33,1.8,17.6,118.7
48.74034,15.40128,5.33,1.8,17.6,118.7
48.74034,15.40128,5.33,1.8,17.6,118.7
48.09324,15.35904,6.06,2.7,42.3,92.4
